NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
f u u s i o,f u u s i o n,no,_,_,_
g r i l l a u s,g r i l l a u k s e n,no,_,_,_
k e h i t t y m ä,k e h i t t y m ä n,no,_,_,_
m i t t e l ö,m i t t e l ö n,no,_,_,_
t ä y t ä n t ö ö n p a n e m i n e n,t ä y t ä n t ö ö n p a n e m i s e n,no,_,_,_
b i o,b i o n,no,_,_,_
k a i d e,k a i t e e n,yes,qualitative,t,inverse
m a t e l i j a,m a t e l i j a n,no,_,_,_
i t s e t u n t o,i t s e t u n n o n,yes,qualitative,t,direct
j ä n n i t e,j ä n n i t t e e n,yes,quantitative,t,inverse
t e o s,t e o k s e n,no,_,_,_
e h t o,e h d o n,yes,qualitative,t,direct
k i i h t y m y s,k i i h t y m y k s e n,no,_,_,_
p e n k k i,p e n k i n,yes,quantitative,k,direct
t o m a a t t i,t o m a a t i n,yes,quantitative,t,direct
t a u l u,t a u l u n,no,_,_,_
s u u n n i t t e l i j a,s u u n n i t t e l i j a n,no,_,_,_
m u u r a r i,m u u r a r i n,no,_,_,_
l a b o r a t o r i o,l a b o r a t o r i o n,no,_,_,_
o t t o m a a n i,o t t o m a a n i n,no,_,_,_
t a h o,t a h o n,no,_,_,_
k o n t r o l l o i n t i,k o n t r o l l o i n n i n,yes,qualitative,t,direct
t a r j o a m i n e n,t a r j o a m i s e n,no,_,_,_
k a a v o i t u s,k a a v o i t u k s e n,no,_,_,_
p o l i t i i k k a,p o l i t i i k a n,yes,quantitative,k,direct
s p e k t a a k k e l i,s p e k t a a k k e l i n,no,_,_,_
j o h t a j a,j o h t a j a n,no,_,_,_
m u n i n t a,m u n i n n a n,yes,qualitative,t,direct
m a a l i,m a a l i n,no,_,_,_
j ä l l e e n m y y n t i,j ä l l e e n m y y n n i n,yes,qualitative,t,direct
t e e m a,t e e m a n,no,_,_,_
v a s t u s t a j a,v a s t u s t a j a n,no,_,_,_
p a i s t a m i n e n,p a i s t a m i s e n,no,_,_,_
y k s i n m y y n t i,y k s i n m y y n n i n,yes,qualitative,t,direct
k o n s t i,k o n s t i n,no,_,_,_
l a s i l l i n e n,l a s i l l i s e n,no,_,_,_
i m p r o v i s o i n t i,i m p r o v i s o i n n i n,yes,qualitative,t,direct
h a p p o,h a p o n,yes,quantitative,p,direct
h ö y h e n,h ö y h e n e n,no,_,_,_
s i s ä ä n p ä ä s y,s i s ä ä n p ä ä s y n,no,_,_,_
v a p a a,v a p a a n,no,_,_,_
k a s v o,k a s v o n,no,_,_,_
p a l u u,p a l u u n,no,_,_,_
r e h t o r i,r e h t o r i n,no,_,_,_
p u r k k i,p u r k i n,yes,quantitative,k,direct
u l k o m a a l a i n e n,u l k o m a a l a i s e n,no,_,_,_
s u o r i t t a j a,s u o r i t t a j a n,no,_,_,_
p r o t e i i n i,p r o t e i i n i n,no,_,_,_
v a s t a a n o t t o,v a s t a a n o t o n,yes,quantitative,t,direct
p u u m a,p u u m a n,no,_,_,_
p o n n i s t e l u,p o n n i s t e l u n,no,_,_,_
t a l l a,t a l l a n,no,_,_,_
k a k k a,k a k a n,yes,quantitative,k,direct
p e t t ä m i n e n,p e t t ä m i s e n,no,_,_,_
k a t s o j a,k a t s o j a n,no,_,_,_
m a i n o s t a j a,m a i n o s t a j a n,no,_,_,_
r y h m i t t y m ä,r y h m i t t y m ä n,no,_,_,_
t a p u l i,t a p u l i n,no,_,_,_
k o n k u r s s i,k o n k u r s s i n,no,_,_,_
j ä ä,j ä ä n,no,_,_,_
h a r a v a,h a r a v a n,no,_,_,_
p i t ä m i n e n,p i t ä m i s e n,no,_,_,_
s i s ä l l y t t ä m i n e n,s i s ä l l y t t ä m i s e n,no,_,_,_
o p p o s i t i o,o p p o s i t i o n,no,_,_,_
r o s m a r i i n i,r o s m a r i i n i n,no,_,_,_
k o h i n a,k o h i n a n,no,_,_,_
t ö p e k s i n t ä,t ö p e k s i n n ä n,yes,qualitative,t,direct
k u k k a,k u k a n,yes,quantitative,k,direct
r a k a s,r a k k a a n,yes,quantitative,k,inverse
v ä k i,v ä e n,yes,qualitative,k,direct
r a a p i m i n e n,r a a p i m i s e n,no,_,_,_
t o i v o m u s,t o i v o m u k s e n,no,_,_,_
v a i k u t u s,v a i k u t u k s e n,no,_,_,_
a l u m n i,a l u m n i n,no,_,_,_
a l k o h o l i,a l k o h o l i n,no,_,_,_
m e t s ä,m e t s ä n,no,_,_,_
n u k k e,n u k e n,yes,quantitative,k,direct
s i s ä l t ö,s i s ä l l ö n,yes,qualitative,t,direct
l ä h e t t i,l ä h e t i n,yes,quantitative,t,direct
s u u n n i t e l m a,s u u n n i t e l m a n,no,_,_,_
h o r m i,h o r m i n,no,_,_,_
n o r m i,n o r m i n,no,_,_,_
p u o l u k k a,p u o l u k a n,yes,quantitative,k,direct
s ä n k i,s ä n g e n,yes,qualitative,k,direct
l o k a k u u,l o k a k u u n,no,_,_,_
o h j e l m i s t o,o h j e l m i s t o n,no,_,_,_
t ä h t i,t ä h d e n,yes,qualitative,t,direct
m a i n o s t a m i n e n,m a i n o s t a m i s e n,no,_,_,_
k a n s a n t a j u i s t a m i n e n,k a n s a n t a j u i s t a m i s e n,no,_,_,_
t e r r o r i s t i,t e r r o r i s t i n,no,_,_,_
p e r e h t y m i n e n,p e r e h t y m i s e n,no,_,_,_
u u r n a,u u r n a n,no,_,_,_
m i n i s t e r i,m i n i s t e r i n,no,_,_,_
v ä r i,v ä r i n,no,_,_,_
k a n e l i,k a n e l i n,no,_,_,_
k r i i t t i s y y s,k r i i t t i s y y d e n,no,_,_,_
t ä t i,t ä d i n,yes,qualitative,t,direct
k a t e k i s m u s,k a t e k i s m u k s e n,no,_,_,_
k o u l u l a i n e n,k o u l u l a i s e n,no,_,_,_
r i k k i,r i k i n,yes,quantitative,k,direct
h e i k e n t y m i n e n,h e i k e n t y m i s e n,no,_,_,_
j o n o,j o n o n,no,_,_,_
k ö m p e l y y s,k ö m p e l y y d e n,no,_,_,_
r e m o n t t i,r e m o n t i n,yes,quantitative,t,direct
p a l k i n t o,p a l k i n n o n,yes,qualitative,t,direct
h e l p p o u s,h e l p p o u d e n,no,_,_,_
m e t r i,m e t r i n,no,_,_,_
k i r v e s,k i r v e e n,no,_,_,_
k o l v i,k o l v i n,no,_,_,_
s ä ä s t ö,s ä ä s t ö n,no,_,_,_
m i t t a u s,m i t t a u k s e n,no,_,_,_
h i i v a,h i i v a n,no,_,_,_
v a l t u u t u s,v a l t u u t u k s e n,no,_,_,_
r a t k a i s u,r a t k a i s u n,no,_,_,_
k u n t o i l i j a,k u n t o i l i j a n,no,_,_,_
t a s o i t u s,t a s o i t u k s e n,no,_,_,_
v u o k r a,v u o k r a n,no,_,_,_
t a i s t e l u,t a i s t e l u n,no,_,_,_
e t a n o l i,e t a n o l i n,no,_,_,_
k u s i,k u s e n,no,_,_,_
k i r j e,k i r j e e n,no,_,_,_
a v a i n,a v a i m e n,no,_,_,_
t y r a n n i a,t y r a n n i a n,no,_,_,_
p o h d i n t a,p o h d i n n a n,yes,qualitative,t,direct
t u o k s u,t u o k s u n,no,_,_,_
l e n n o k k i,l e n n o k i n,yes,quantitative,k,direct
h a k e m i n e n,h a k e m i s e n,no,_,_,_
r i n t a m a,r i n t a m a n,no,_,_,_
n u o r u u s,n u o r u u d e n,no,_,_,_
h ä i v ä h d y s,h ä i v ä h d y k s e n,no,_,_,_
l i g n i i n i,l i g n i i n i n,no,_,_,_
h e r r a,h e r r a n,no,_,_,_
m o z z a r e l l a,m o z z a r e l l a n,no,_,_,_
s a h a,s a h a n,no,_,_,_
k u m p p a n i,k u m p p a n i n,no,_,_,_
k ä r k i,k ä r j e n,yes,qualitative,k,direct
s i j a i n e n,s i j a i s e n,no,_,_,_
r e t w e e t,r e t w e e t i n,no,_,_,_
y k s i t y i s t ä m i n e n,y k s i t y i s t ä m i s e n,no,_,_,_
h u m u s,h u m u k s e n,no,_,_,_
p ä ä s i ä i n e n,p ä ä s i ä i s e n,no,_,_,_
k a t a s t r o f i,k a t a s t r o f i n,no,_,_,_
s o p u l i,s o p u l i n,no,_,_,_
k o m e e t t a,k o m e e t a n,yes,quantitative,t,direct
t a r j o u s,t a r j o u k s e n,no,_,_,_
b ö n d e,b ö n d e n,no,_,_,_
k ä ä r y l e,k ä ä r y l e e n,no,_,_,_
b u s s i,b u s s i n,no,_,_,_
p a s t a,p a s t a n,no,_,_,_
t o s i t e,t o s i t t e e n,yes,quantitative,t,inverse
j a k a u s,j a k a u k s e n,no,_,_,_
d e m o,d e m o n,no,_,_,_
s i r p a l e,s i r p a l e e n,no,_,_,_
h i e r o j a,h i e r o j a n,no,_,_,_
t r e n d i,t r e n d i n,no,_,_,_
l a i s k o t t e l u,l a i s k o t t e l u n,no,_,_,_
t a m m i,t a m m e n,no,_,_,_
m i g r a a t i o,m i g r a a t i o n,no,_,_,_
g r i l l i,g r i l l i n,no,_,_,_
t u n n i s t u s,t u n n i s t u k s e n,no,_,_,_
s a t u l a,s a t u l a n,no,_,_,_
l u u t n a n t t i,l u u t n a n t i n,yes,quantitative,t,direct
h i p p i,h i p i n,yes,quantitative,p,direct
p u i t e,p u i t t e e n,yes,quantitative,t,inverse
s u u d e l m a,s u u d e l m a n,no,_,_,_
e n s i k e r t a,e n s i k e r r a n,yes,qualitative,t,direct
s i l m ä,s i l m ä n,no,_,_,_
g e n e t i i k k a,g e n e t i i k a n,yes,quantitative,k,direct
v a p a u t u s,v a p a u t u k s e n,no,_,_,_
t e n n a r i,t e n n a r i n,no,_,_,_
e t a p p i,e t a p i n,yes,quantitative,p,direct
t a r i f f i,t a r i f f i n,no,_,_,_
v a n k i l a,v a n k i l a n,no,_,_,_
k u p i l l i n e n,k u p i l l i s e n,no,_,_,_
k e s k i t t y m ä,k e s k i t t y m ä n,no,_,_,_
l a a k e r i,l a a k e r i n,no,_,_,_
l u k u,l u v u n,yes,qualitative,k,direct
p a i n a j a i n e n,p a i n a j a i s e n,no,_,_,_
l a t v i a,l a t v i a n,no,_,_,_
s o v i n t o,s o v i n n o n,yes,qualitative,t,direct
k a a s u,k a a s u n,no,_,_,_
m u r h e,m u r h e e n,no,_,_,_
g r a m m a,g r a m m a n,no,_,_,_
l ä s k i,l ä s k i n,no,_,_,_
t i i m i,t i i m i n,no,_,_,_
k a l a,k a l a n,no,_,_,_
s e l l u l o o s a,s e l l u l o o s a n,no,_,_,_
e h d o k k u u s,e h d o k k u u d e n,no,_,_,_
k a z a k k i,k a z a k i n,yes,quantitative,k,direct
v i e t t o,v i e t o n,yes,quantitative,t,direct
m e d i a,m e d i a n,no,_,_,_
t a r k k u u s,t a r k k u u d e n,no,_,_,_
t a s o,t a s o n,no,_,_,_
i l m a a n t u m i n e n,i l m a a n t u m i s e n,no,_,_,_
j a t k o,j a t k o n,no,_,_,_
p i l l e r i,p i l l e r i n,no,_,_,_
s c i f i,s c i f i n,no,_,_,_
p o i s l ä h t ö,p o i s l ä h d ö n,yes,qualitative,t,direct
a t e i s t i,a t e i s t i n,no,_,_,_
e n k e l i,e n k e l i n,no,_,_,_
v a i h t a m i n e n,v a i h t a m i s e n,no,_,_,_
h u h t i k u u,h u h t i k u u n,no,_,_,_
n i s t i,n i s t i n,no,_,_,_
h o m m a,h o m m a n,no,_,_,_
k i p u,k i v u n,yes,qualitative,p,direct
l a i t o s,l a i t o k s e n,no,_,_,_
l a u a n t a i,l a u a n t a i n,no,_,_,_
h y ö d y k e,h y ö d y k k e e n,yes,quantitative,k,inverse
s u i k a l e,s u i k a l e e n,no,_,_,_
s t e r e o,s t e r e o n,no,_,_,_
s e l u s t a,s e l u s t a n,no,_,_,_
s a r k o f a g i,s a r k o f a g i n,no,_,_,_
k o s t o,k o s t o n,no,_,_,_
k y m p p i,k y m p i n,yes,quantitative,p,direct
l a i t t o m u u s,l a i t t o m u u d e n,no,_,_,_
v a u r i o i t u m i n e n,v a u r i o i t u m i s e n,no,_,_,_
i n n o v a a t i o,i n n o v a a t i o n,no,_,_,_
p a k e n e m i n e n,p a k e n e m i s e n,no,_,_,_
v e r a n t a,v e r a n n a n,yes,qualitative,t,direct
e n s i e s i t y s,e n s i e s i t y k s e n,no,_,_,_
d e s i m a a l i,d e s i m a a l i n,no,_,_,_
v ä n r i k k i,v ä n r i k i n,yes,quantitative,k,direct
b a n j o,b a n j o n,no,_,_,_
e r i t e l m ä,e r i t e l m ä n,no,_,_,_
k o n t a k t i,k o n t a k t i n,no,_,_,_
p o i s t u m a,p o i s t u m a n,no,_,_,_
p i p p u r i,p i p p u r i n,no,_,_,_
o s o i t u s,o s o i t u k s e n,no,_,_,_
v u o s i k y m m e n,v u o s i k y m m e n e n,no,_,_,_
b a s i l l i,b a s i l l i n,no,_,_,_
m o n i o t t e l i j a,m o n i o t t e l i j a n,no,_,_,_
k e r u u,k e r u u n,no,_,_,_
k ä y t ö s,k ä y t ö k s e n,no,_,_,_
k y s y m y s,k y s y m y k s e n,no,_,_,_
e s p r e s s o,e s p r e s s o n,no,_,_,_
v i n t t i,v i n t i n,yes,quantitative,t,direct
h a l l i n t o,h a l l i n n o n,yes,qualitative,t,direct
p o m o,p o m o n,no,_,_,_
n ä k y m ä,n ä k y m ä n,no,_,_,_
r a k u u n a,r a k u u n a n,no,_,_,_
e l o o n j ä ä n y t,e l o o n j ä ä n y e n,yes,qualitative,t,direct
t ä h d e,t ä h t e e n,yes,qualitative,t,inverse
s a n i a i n e n,s a n i a i s e n,no,_,_,_
k a m e r a,k a m e r a n,no,_,_,_
n i e l a i s u,n i e l a i s u n,no,_,_,_
l a t a a m i n e n,l a t a a m i s e n,no,_,_,_
l ö y d ö s,l ö y d ö k s e n,no,_,_,_
l a i v a,l a i v a n,no,_,_,_
s y s t e e m i,s y s t e e m i n,no,_,_,_
t a j u n n a l l i s u u s,t a j u n n a l l i s u u d e n,no,_,_,_
t a a l e r i,t a a l e r i n,no,_,_,_
u u s i s e e l a n t i l a i n e n,u u s i s e e l a n t i l a i s e n,no,_,_,_
a i k a a n s a a n n o s,a i k a a n s a a n n o k s e n,no,_,_,_
k o m m e n t t i,k o m m e n t i n,yes,quantitative,t,direct
m u k i,m u k i n,no,_,_,_
p s y k o p a a t t i,p s y k o p a a t i n,yes,quantitative,t,direct
d i s k u r s s i,d i s k u r s s i n,no,_,_,_
u i g u u r i,u i g u u r i n,no,_,_,_
r u m p a l i,r u m p a l i n,no,_,_,_
a s u j a i m i s t o,a s u j a i m i s t o n,no,_,_,_
l e s k i,l e s k e n,no,_,_,_
t r a n s i t o,t r a n s i t o n,no,_,_,_
o r a n s s i,o r a n s s i n,no,_,_,_
h i m o,h i m o n,no,_,_,_
s y n n y t t ä m i n e n,s y n n y t t ä m i s e n,no,_,_,_
o r g a s m i,o r g a s m i n,no,_,_,_
m a h d o l l i n e n,m a h d o l l i s e n,no,_,_,_
t e e t t ä m i n e n,t e e t t ä m i s e n,no,_,_,_
v a i k u t t a j a,v a i k u t t a j a n,no,_,_,_
e d u s t a,e d u s t a n,no,_,_,_
k o m i t e a,k o m i t e a n,no,_,_,_
l o p p u,l o p u n,yes,quantitative,p,direct
k a r j a,k a r j a n,no,_,_,_
p e l a r g o n i a,p e l a r g o n i a n,no,_,_,_
v e s s a,v e s s a n,no,_,_,_
v e t o o m u s,v e t o o m u k s e n,no,_,_,_
p u j o t t e l u,p u j o t t e l u n,no,_,_,_
m a a h a n m u u t t o,m a a h a n m u u t o n,yes,quantitative,t,direct
h ö s s ö t i n,h ö s s ö t t i m e n,yes,quantitative,t,inverse
y h t e y s,y h t e y d e n,no,_,_,_
n y r k k i,n y r k i n,yes,quantitative,k,direct
s a n k t i o,s a n k t i o n,no,_,_,_
f a s i s m i,f a s i s m i n,no,_,_,_
t a r k k a a v a i s u u s,t a r k k a a v a i s u u d e n,no,_,_,_
o h j e l m o i n t i,o h j e l m o i n n i n,yes,qualitative,t,direct
v u o r o,v u o r o n,no,_,_,_
r a s t i,r a s t i n,no,_,_,_
o k s e n n u s,o k s e n n u k s e n,no,_,_,_
t o o s a,t o o s a n,no,_,_,_
a n t r o p o l o g i,a n t r o p o l o g i n,no,_,_,_
k e i t t i ö,k e i t t i ö n,no,_,_,_
t u t i n a,t u t i n a n,no,_,_,_
r e k i,r e e n,yes,qualitative,k,direct
r u n o,r u n o n,no,_,_,_
e t e i n e n,e t e i s e n,no,_,_,_
h a n k i,h a n g e n,yes,qualitative,k,direct
m o k k a s i i n i,m o k k a s i i n i n,no,_,_,_
a l t i s t u s,a l t i s t u k s e n,no,_,_,_
m ä m m i,m ä m m i n,no,_,_,_
t a n g o,t a n g o n,no,_,_,_
o p e r a a t t o r i,o p e r a a t t o r i n,no,_,_,_
f l a a m i,f l a a m i n,no,_,_,_
a k k a,a k a n,yes,quantitative,k,direct
h a n k i n t a,h a n k i n n a n,yes,qualitative,t,direct
v i l t t i,v i l t i n,yes,quantitative,t,direct
r u o t s i,r u o t s i n,no,_,_,_
v e r k k o,v e r k o n,yes,quantitative,k,direct
v a r i a n t t i,v a r i a n t i n,yes,quantitative,t,direct
u l o s t u l o,u l o s t u l o n,no,_,_,_
k y y k k ä,k y y k ä n,yes,quantitative,k,direct
r i e s k a,r i e s k a n,no,_,_,_
k o h t e l i a i s u u s,k o h t e l i a i s u u d e n,no,_,_,_
h y ö k k ä ä j ä,h y ö k k ä ä j ä n,no,_,_,_
t y v i,t y v e n,no,_,_,_
r u p l a,r u p l a n,no,_,_,_
t a m m i k u u,t a m m i k u u n,no,_,_,_
k o r j a a m o,k o r j a a m o n,no,_,_,_
o d o t u s,o d o t u k s e n,no,_,_,_
k a u h i s t u s,k a u h i s t u k s e n,no,_,_,_
v a l u u t t a,v a l u u t a n,yes,quantitative,t,direct
h u i p u t t a j a,h u i p u t t a j a n,no,_,_,_
n o l l a,n o l l a n,no,_,_,_
m i e h i s t ö,m i e h i s t ö n,no,_,_,_
a l i n e n,a l i s e n,no,_,_,_
a n n o s t e l u,a n n o s t e l u n,no,_,_,_
k ä r s i m y s,k ä r s i m y k s e n,no,_,_,_
k a m m i o,k a m m i o n,no,_,_,_
m e k k o,m e k o n,yes,quantitative,k,direct
k ä y t t ä j ä,k ä y t t ä j ä n,no,_,_,_
r a j a,r a j a n,no,_,_,_
r a p p i o,r a p p i o n,no,_,_,_
j u m a l a,j u m a l a n,no,_,_,_
h y ö t y,h y ö d y n,yes,qualitative,t,direct
r i v i,r i v i n,no,_,_,_
t e r m i,t e r m i n,no,_,_,_
m u k a i s u u s,m u k a i s u u d e n,no,_,_,_
v a i m o,v a i m o n,no,_,_,_
s e k a a n n u s,s e k a a n n u k s e n,no,_,_,_
t a r v i k e,t a r v i k k e e n,yes,quantitative,k,inverse
k o o d a r i,k o o d a r i n,no,_,_,_
l u i s t o,l u i s t o n,no,_,_,_
l i s e n s i a a t t i,l i s e n s i a a t i n,yes,quantitative,t,direct
p a r a n n u s,p a r a n n u k s e n,no,_,_,_
o p e r a a t i o,o p e r a a t i o n,no,_,_,_
r a k a s t a j a t a r,r a k a s t a j a t t a r e n,yes,quantitative,t,inverse
t i p p u m i n e n,t i p p u m i s e n,no,_,_,_
s a n d a a l i,s a n d a a l i n,no,_,_,_
o r g a n i s m i,o r g a n i s m i n,no,_,_,_
p e l t i,p e l l i n,yes,qualitative,t,direct
p o k k a r i,p o k k a r i n,no,_,_,_
r a t k a i s i j a,r a t k a i s i j a n,no,_,_,_
h a k i j a,h a k i j a n,no,_,_,_
p s a l m i,p s a l m i n,no,_,_,_
o v i,o v e n,no,_,_,_
m u o t o,m u o d o n,yes,qualitative,t,direct
k r o n i k k a,k r o n i k a n,yes,quantitative,k,direct
v a a t i m u s,v a a t i m u k s e n,no,_,_,_
k ä y t ä v ä,k ä y t ä v ä n,no,_,_,_
p i a n o,p i a n o n,no,_,_,_
r a d i o,r a d i o n,no,_,_,_
y l i n e n,y l i s e n,no,_,_,_
n u h a,n u h a n,no,_,_,_
v i t o n e n,v i t o s e n,no,_,_,_
j o k i,j o e n,yes,qualitative,k,direct
e i l i n e n,e i l i s e n,no,_,_,_
n u o r i s o,n u o r i s o n,no,_,_,_
p a a l u,p a a l u n,no,_,_,_
n ä k y v y y s,n ä k y v y y d e n,no,_,_,_
v i r a s t o,v i r a s t o n,no,_,_,_
u n t u v a,u n t u v a n,no,_,_,_
u n i o n i,u n i o n i n,no,_,_,_
n o j a,n o j a n,no,_,_,_
v a s t u u,v a s t u u n,no,_,_,_
o h j e l m a,o h j e l m a n,no,_,_,_
k a s s i,k a s s i n,no,_,_,_
t i e d e,t i e t e e n,yes,qualitative,t,inverse
t a p p i,t a p i n,yes,quantitative,p,direct
k u m p u,k u m m u n,yes,qualitative,p,direct
v e r h o,v e r h o n,no,_,_,_
p a r a n t a m i n e n,p a r a n t a m i s e n,no,_,_,_
t e h o k k u u s,t e h o k k u u d e n,no,_,_,_
i l m o i t u s,i l m o i t u k s e n,no,_,_,_
l e g i t i m i t e e t t i,l e g i t i m i t e e t i n,yes,quantitative,t,direct
k i i n n o s t u n u t,k i i n n o s t u n e e n,no,_,_,_
s a v u k e,s a v u k k e e n,yes,quantitative,k,inverse
v a l a i s t u s,v a l a i s t u k s e n,no,_,_,_
k a p p a l e,k a p p a l e e n,no,_,_,_
p e s u,p e s u n,no,_,_,_
r y p p y,r y p y n,yes,quantitative,p,direct
a n n o s,a n n o k s e n,no,_,_,_
m o n i k u l t t u u r i s u u s,m o n i k u l t t u u r i s u u d e n,no,_,_,_
v i e s t i n,v i e s t i m e n,no,_,_,_
m i e t i s k e l y,m i e t i s k e l y n,no,_,_,_
l u k s u s,l u k s u k s e n,no,_,_,_
t u l i a i n e n,t u l i a i s e n,no,_,_,_
a n o p p i,a n o p i n,yes,quantitative,p,direct
k r e i v i,k r e i v i n,no,_,_,_
y h t e i s ö,y h t e i s ö n,no,_,_,_
p a l v e l u,p a l v e l u n,no,_,_,_
s t i g m a,s t i g m a n,no,_,_,_
p ö t k y l ä,p ö t k y l ä n,no,_,_,_
s e i k k a i l u,s e i k k a i l u n,no,_,_,_
k ä p p ä n ä,k ä p p ä n ä n,no,_,_,_
e s i i n t y m i n e n,e s i i n t y m i s e n,no,_,_,_
a s i a k a s,a s i a k k a a n,yes,quantitative,k,inverse
k i i p e ä m i n e n,k i i p e ä m i s e n,no,_,_,_
u u d e l l e e n j ä r j e s t e l y,u u d e l l e e n j ä r j e s t e l y n,no,_,_,_
v o i m a,v o i m a n,no,_,_,_
l e h t i,l e h d e n,yes,qualitative,t,direct
k a n n a t u s,k a n n a t u k s e n,no,_,_,_
m u u t t a m i n e n,m u u t t a m i s e n,no,_,_,_
i e s,i k e e n,yes,qualitative,k,inverse
v a l t a a n n o u s u,v a l t a a n n o u s u n,no,_,_,_
k u v a a m a t a i d e,k u v a a m a t a i t e e n,yes,qualitative,t,inverse
n a p a,n a v a n,yes,qualitative,p,direct
k a n g a s,k a n k a a n,yes,qualitative,k,inverse
e s t u a a r i,e s t u a a r i n,no,_,_,_
p y k ä l ä,p y k ä l ä n,no,_,_,_
s u u t e l u,s u u t e l u n,no,_,_,_
l a s t e n t a u t i,l a s t e n t a u d i n,yes,qualitative,t,direct
k ä y n t i,k ä y n n i n,yes,qualitative,t,direct
k i i p i j ä,k i i p i j ä n,no,_,_,_
h i e k k a,h i e k a n,yes,quantitative,k,direct
k ä y t t ö,k ä y t ö n,yes,quantitative,t,direct
a l g o r i t m i,a l g o r i t m i n,no,_,_,_
l a a j e n e m i n e n,l a a j e n e m i s e n,no,_,_,_
t a a j a m a,t a a j a m a n,no,_,_,_
r i k k o u t u m i n e n,r i k k o u t u m i s e n,no,_,_,_
p a t o,p a d o n,yes,qualitative,t,direct
k ä t i l ö,k ä t i l ö n,no,_,_,_
s y y t e t t y,s y y t e t y n,yes,quantitative,t,direct
p u n k,p u n k i n,no,_,_,_
h o v i,h o v i n,no,_,_,_
t a i k i n a,t a i k i n a n,no,_,_,_
o l e t u s,o l e t u k s e n,no,_,_,_
n e o f a s i s m i,n e o f a s i s m i n,no,_,_,_
m u u t o s,m u u t o k s e n,no,_,_,_
s p a m m i,s p a m m i n,no,_,_,_
k u r i,k u r i n,no,_,_,_
s a r j a,s a r j a n,no,_,_,_
e l ä k e,e l ä k k e e n,yes,quantitative,k,inverse
v i i s a r i,v i i s a r i n,no,_,_,_
t u o t t a m i n e n,t u o t t a m i s e n,no,_,_,_
n a k u,n a k u n,no,_,_,_
h ä l y t y s,h ä l y t y k s e n,no,_,_,_
v i r o l a i n e n,v i r o l a i s e n,no,_,_,_
v i i t e,v i i t t e e n,yes,quantitative,t,inverse
t o d i s t e,t o d i s t e e n,no,_,_,_
t o u k o k u u,t o u k o k u u n,no,_,_,_
k u r d i,k u r d i n,no,_,_,_
h y v ä,h y v ä n,no,_,_,_
v i s u a l i s o i n t i,v i s u a l i s o i n n i n,yes,qualitative,t,direct
t a p a h t u m a,t a p a h t u m a n,no,_,_,_
m o n a r k i a,m o n a r k i a n,no,_,_,_
k o h t a a m i n e n,k o h t a a m i s e n,no,_,_,_
e s p a n j a,e s p a n j a n,no,_,_,_
t e k e m i n e n,t e k e m i s e n,no,_,_,_
p a a v i,p a a v i n,no,_,_,_
a p a j a,a p a j a n,no,_,_,_
p a k o t t a m i n e n,p a k o t t a m i s e n,no,_,_,_
l u k e m a,l u k e m a n,no,_,_,_
h u h u,h u h u n,no,_,_,_
ä ä r e t t ö m y y s,ä ä r e t t ö m y y d e n,no,_,_,_
h a v a i t s e m i n e n,h a v a i t s e m i s e n,no,_,_,_
d i n o s a u r u s,d i n o s a u r u k s e n,no,_,_,_
l u o l a s t o,l u o l a s t o n,no,_,_,_
l ä i s k ä,l ä i s k ä n,no,_,_,_
k a k s i o,k a k s i o n,no,_,_,_
k a t k o,k a t k o n,no,_,_,_
h ä ä,h ä ä n,no,_,_,_
n a v i g a a t t o r i,n a v i g a a t t o r i n,no,_,_,_
v a p a u t u m i n e n,v a p a u t u m i s e n,no,_,_,_
j ä ä h y,j ä ä h y n,no,_,_,_
h y ö n t e i n e n,h y ö n t e i s e n,no,_,_,_
h i h a,h i h a n,no,_,_,_
r a t i f i o i n t i,r a t i f i o i n n i n,yes,qualitative,t,direct
r e a l i t e e t t i,r e a l i t e e t i n,yes,quantitative,t,direct
h u o l i m a t t o m u u s,h u o l i m a t t o m u u d e n,no,_,_,_
t u h o a m i n e n,t u h o a m i s e n,no,_,_,_
s u u,s u u n,no,_,_,_
h a a s t a v u u s,h a a s t a v u u d e n,no,_,_,_
k a n a d a l a i n e n,k a n a d a l a i s e n,no,_,_,_
p ä h k i n ä,p ä h k i n ä n,no,_,_,_
k u l u n e i s u u s,k u l u n e i s u u d e n,no,_,_,_
t ä r i n ä,t ä r i n ä n,no,_,_,_
f e m i n i s t i,f e m i n i s t i n,no,_,_,_
k o l i k k o,k o l i k o n,yes,quantitative,k,direct
k o r v i k e,k o r v i k k e e n,yes,quantitative,k,inverse
r ä n n i,r ä n n i n,no,_,_,_
s u v e r e n i t e e t t i,s u v e r e n i t e e t i n,yes,quantitative,t,direct
s a v u,s a v u n,no,_,_,_
i l m a i s e m i n e n,i l m a i s e m i s e n,no,_,_,_
t u l e m i n e n,t u l e m i s e n,no,_,_,_
i n f l a a t i o,i n f l a a t i o n,no,_,_,_
t a i k u r i,t a i k u r i n,no,_,_,_
t a j u n t a,t a j u n n a n,yes,qualitative,t,direct
k y y n ä r p ä ä,k y y n ä r p ä ä n,no,_,_,_
t o i v o,t o i v o n,no,_,_,_
t o d e l l i s u u s,t o d e l l i s u u d e n,no,_,_,_
h a v a i n n o i n t i,h a v a i n n o i n n i n,yes,qualitative,t,direct
